Period,Mean_Return,Variance,Target_Return
44,-0.00904542,0.0213696,0.05
45,0.0386864,0.0230363,0.05
46,0.0397546,0.0176168,0.05
47,-0.107502,0.0410358,0.05
48,0.0108661,0.0250602,0.05
49,0.0241128,0.0495285,0.05
50,0.0405485,0.0402625,0.05

1,0.0802226,0.0205721,0.055
2,-0.0159101,0.0205183,0.055
3,-0.015959,0.0105383,0.055
4,0.0137338,0.0294424,0.055
5,0.0949727,0.0326269,0.055
6,0.0751529,0.0509105,0.055
7,-0.00885681,0.0298282,0.055
8,-0.00262502,0.070857,0.055
9,-0.0440924,0.0420775,0.055
10,-0.0119871,0.0361461,0.055
11,0.105393,0.0825095,0.055
12,0.00339369,0.113702,0.055
13,-0.074825,0.0436414,0.055
14,0.0565326,0.0423772,0.055
15,0.0657687,0.0494915,0.055
16,0.0248005,0.0354789,0.055
17,0.0142491,0.0678949,0.055
18,-0.0369139,0.246477,0.055
19,-0.159414,0.400326,0.055
20,-0.0160437,0.184768,0.055
21,0.0641014,0.502039,0.055
22,-0.0288191,0.0687426,0.055
23,-0.124606,0.0674198,0.055
24,-0.0265166,0.0472014,0.055
25,-0.00442674,0.0458067,0.055
26,0.0123399,0.0265024,0.055
27,-0.0436995,0.028911,0.055
28,-0.0591325,0.0129316,0.055
29,0.0097539,0.0138044,0.055
30,-0.0575748,0.0241797,0.055
31,0.00826259,0.054017,0.055
32,-0.0954184,0.107176,0.055
33,0.0912394,0.0322431,0.055
34,0.0563891,0.0524068,0.055
35,0.0611291,0.01531,0.055
36,-0.0442632,0.0119362,0.055
37,0.00677922,0.0168006,0.055
38,0.0543896,0.0415673,0.055
39,-0.0366127,0.0515746,0.055
40,0.0101352,0.0260322,0.055
41,0.0528946,0.016122,0.055
42,0.108865,0.0161519,0.055
43,0.0179999,0.051098,0.055
44,-0.0108351,0.0259382,0.055
45,0.0401608,0.0261551,0.055
46,0.0438877,0.021307,0.055
47,-0.117955,0.050053,0.055
48,0.0117398,0.030114,0.055
49,0.0265783,0.060334,0.055
50,0.0436314,0.0482058,0.055

1,0.0871585,0.0231595,0.06
2,-0.0178987,0.0248376,0.06
3,-0.0201865,0.0134553,0.06
4,0.0149215,0.0358644,0.06
5,0.100797,0.0377903,0.06
6,0.0823245,0.0639573,0.06
7,-0.0106706,0.0363738,0.06
8,-0.00351309,0.0840988,0.06
9,-0.0501949,0.0511186,0.06
10,-0.0147937,0.0444226,0.06
11,0.114193,0.0973742,0.06
12,0.00458912,0.136317,0.06
13,-0.0825613,0.0514842,0.06
14,0.0616454,0.0498236,0.06
15,0.0711367,0.0585176,0.06
16,0.0272592,0.0412657,0.06
17,0.0153436,0.0807606,0.06
18,-0.0406363,0.290876,0.06
19,-0.174653,0.469379,0.06
20,-0.0150019,0.219194,0.06
21,0.0790842,0.610962,0.06
22,-0.031659,0.0823289,0.06
23,-0.13725,0.080764,0.06
24,-0.0285041,0.0549411,0.06
25,-0.00460495,0.0522861,0.06
26,0.0135018,0.0309662,0.06
27,-0.0490531,0.0359286,0.06
28,-0.0639826,0.0152995,0.06
29,0.00976236,0.0161503,0.06
30,-0.0632644,0.0281842,0.06
31,0.00841068,0.064449,0.06
32,-0.10409,0.126942,0.06
33,0.0998683,0.0380745,0.06
34,0.0617672,0.0616825,0.06
35,0.0663911,0.0179656,0.06
36,-0.0483254,0.0142261,0.06
37,0.00813524,0.0200593,0.06
38,0.0584097,0.0490312,0.06
